,Unnamed: 0,Survived,Pclass,Sex,SibSp,Parch,Embarked,Initial,Initial_test,Age_band,Family_Size,Alone,Fare_cat
168,168,0,1,male,0,0,0,0,Mr,2,0,1,2
169,169,0,3,male,0,0,0,0,Mr,1,0,1,3
170,170,0,1,male,0,0,0,0,Mr,3,0,1,3
171,171,0,3,male,4,1,2,3,Master,0,5,0,2
172,172,1,3,female,1,1,0,2,Miss,0,2,0,1
173,173,0,3,male,0,0,0,0,Mr,1,0,1,1
174,174,0,1,male,0,0,1,0,Mr,3,0,1,2
175,175,0,3,male,1,1,0,0,Mr,1,2,0,0
176,176,0,3,male,3,1,0,3,Master,0,4,0,2
177,177,0,1,female,0,0,1,2,Miss,3,0,1,2
178,178,0,2,male,0,0,0,0,Mr,1,0,1,1
179,179,0,3,male,0,0,0,0,Mr,2,0,1,0
180,180,0,3,female,8,2,0,2,Miss,1,10,0,3
181,181,0,2,male,0,0,1,0,Mr,2,0,1,2
182,182,0,3,male,4,2,0,3,Master,0,6,0,3
183,183,1,2,male,2,1,0,3,Master,0,3,0,3
184,184,1,3,female,0,2,0,2,Miss,0,2,0,2
185,185,0,1,male,0,0,0,0,Mr,2,0,1,3
186,186,1,3,female,1,0,2,1,Mrs,2,1,0,2
187,187,1,1,male,0,0,0,0,Mr,2,0,1,2
188,188,0,3,male,1,1,2,0,Mr,2,2,0,2
189,189,0,3,male,0,0,0,0,Mr,2,0,1,0
190,190,1,2,female,0,0,0,1,Mrs,1,0,1,1
191,191,0,2,male,0,0,0,0,Mr,1,0,1,1
192,192,1,3,female,1,0,0,2,Miss,1,1,0,0
193,193,1,2,male,1,1,0,3,Master,0,2,0,2
194,194,1,1,female,0,0,1,1,Mrs,2,0,1,2
195,195,1,1,female,0,0,1,2,Miss,3,0,1,3
196,196,0,3,male,0,0,2,0,Mr,2,0,1,0
197,197,0,3,male,0,1,0,0,Mr,2,1,0,1
198,198,1,3,female,0,0,2,2,Miss,1,0,1,0
199,199,0,2,female,0,0,0,2,Miss,1,0,1,1
200,200,0,3,male,0,0,0,0,Mr,1,0,1,1
201,201,0,3,male,8,2,0,0,Mr,2,10,0,3
202,202,0,3,male,0,0,0,0,Mr,2,0,1,0
203,203,0,3,male,0,0,1,0,Mr,2,0,1,0
204,204,1,3,male,0,0,0,0,Mr,1,0,1,1
205,205,0,3,female,0,1,0,2,Miss,0,1,0,1
206,206,0,3,male,1,0,0,0,Mr,1,1,0,2
207,207,1,3,male,0,0,1,0,Mr,1,0,1,2
208,208,1,3,female,0,0,2,2,Miss,0,0,1,0
209,209,1,1,male,0,0,1,0,Mr,2,0,1,2
210,210,0,3,male,0,0,0,0,Mr,1,0,1,0
211,211,1,2,female,0,0,0,2,Miss,2,0,1,2
212,212,0,3,male,0,0,0,0,Mr,1,0,1,0
213,213,0,2,male,0,0,0,0,Mr,1,0,1,1
214,214,0,3,male,1,0,2,0,Mr,2,1,0,0
215,215,1,1,female,1,0,1,2,Miss,1,1,0,3
216,216,1,3,female,0,0,0,2,Miss,1,0,1,1
217,217,0,2,male,1,0,0,0,Mr,2,1,0,2
218,218,1,1,female,0,0,1,2,Miss,1,0,1,3
219,219,0,2,male,0,0,0,0,Mr,1,0,1,1
220,220,1,3,male,0,0,0,0,Mr,0,0,1,1
221,221,0,2,male,0,0,0,0,Mr,1,0,1,1
222,222,0,3,male,0,0,0,0,Mr,3,0,1,1
223,223,0,3,male,0,0,0,0,Mr,2,0,1,0
224,224,1,1,male,1,0,0,0,Mr,2,1,0,3
225,225,0,3,male,0,0,0,0,Mr,1,0,1,1
226,226,1,2,male,0,0,0,0,Mr,1,0,1,1
227,227,0,3,male,0,0,0,0,Mr,1,0,1,0
228,228,0,2,male,0,0,0,0,Mr,1,0,1,1
229,229,0,3,female,3,1,0,2,Miss,1,4,0,2
230,230,1,1,female,1,0,0,1,Mrs,2,1,0,3
231,231,0,3,male,0,0,0,0,Mr,1,0,1,0
232,232,0,2,male,0,0,0,0,Mr,3,0,1,1
233,233,1,3,female,4,2,0,2,Miss,0,6,0,3
234,234,0,2,male,0,0,0,0,Mr,1,0,1,1
235,235,0,3,female,0,0,0,2,Miss,1,0,1,0
236,236,0,2,male,1,0,0,0,Mr,2,1,0,2
237,237,1,2,female,0,2,0,2,Miss,0,2,0,2
238,238,0,2,male,0,0,0,0,Mr,1,0,1,1
239,239,0,2,male,0,0,0,0,Mr,2,0,1,1
240,240,0,3,female,1,0,1,2,Miss,1,1,0,2
241,241,1,3,female,1,0,2,2,Miss,1,1,0,2
242,242,0,2,male,0,0,0,0,Mr,1,0,1,1
243,243,0,3,male,0,0,0,0,Mr,1,0,1,0
244,244,0,3,male,0,0,1,0,Mr,1,0,1,0
245,245,0,1,male,2,0,2,0,Dr,2,2,0,3
246,246,0,3,female,0,0,0,2,Miss,1,0,1,0
247,247,1,2,female,0,2,0,1,Mrs,1,2,0,2
248,248,1,1,male,1,1,0,0,Mr,2,2,0,3
249,249,0,2,male,1,0,0,4,Rev,3,1,0,2
250,250,0,3,male,0,0,0,0,Mr,2,0,1,0
251,251,0,3,female,1,1,0,1,Mrs,1,2,0,1
252,252,0,1,male,0,0,0,0,Mr,3,0,1,2
253,253,0,3,male,1,0,0,0,Mr,1,1,0,2
254,254,0,3,female,0,2,0,1,Mrs,2,2,0,2
255,255,1,3,female,0,2,1,1,Mrs,1,2,0,2
256,256,1,1,female,0,0,1,1,Mrs,2,0,1,3
257,257,1,1,female,0,0,0,2,Miss,1,0,1,3
258,258,1,1,female,0,0,1,2,Miss,2,0,1,0
259,259,1,2,female,0,1,0,1,Mrs,3,1,0,2
260,260,0,3,male,0,0,2,0,Mr,2,0,1,0
261,261,1,3,male,4,2,0,3,Master,0,6,0,3
262,262,0,1,male,1,1,0,0,Mr,3,2,0,3
263,263,0,1,male,0,0,0,0,Mr,2,0,1,0
264,264,0,3,female,0,0,2,2,Miss,1,0,1,0
265,265,0,2,male,0,0,0,0,Mr,2,0,1,1
266,266,0,3,male,4,1,0,0,Mr,0,5,0,3
267,267,1,3,male,1,0,0,0,Mr,1,1,0,0
268,268,1,1,female,0,1,0,1,Mrs,3,1,0,3
269,269,1,1,female,0,0,0,2,Miss,2,0,1,3
270,270,0,1,male,0,0,0,0,Mr,2,0,1,2
271,271,1,3,male,0,0,0,0,Mr,1,0,1,0
272,272,1,2,female,0,1,0,1,Mrs,2,1,0,2
273,273,0,1,male,0,1,1,0,Mr,2,1,0,2
274,274,1,3,female,0,0,2,2,Miss,1,0,1,0
275,275,1,1,female,1,0,0,2,Miss,3,1,0,3
276,276,0,3,female,0,0,0,2,Miss,2,0,1,0
277,277,0,2,male,0,0,0,0,Mr,2,0,1,0
278,278,0,3,male,4,1,2,3,Master,0,5,0,2
279,279,1,3,female,1,1,0,1,Mrs,2,2,0,2
280,280,0,3,male,0,0,2,0,Mr,4,0,1,0
281,281,0,3,male,0,0,0,0,Mr,1,0,1,0
282,282,0,3,male,0,0,0,0,Mr,0,0,1,1
283,283,1,3,male,0,0,0,0,Mr,1,0,1,1
284,284,0,1,male,0,0,0,0,Mr,2,0,1,2
285,285,0,3,male,0,0,1,0,Mr,2,0,1,1
286,286,1,3,male,0,0,0,0,Mr,1,0,1,1
287,287,0,3,male,0,0,0,0,Mr,1,0,1,0
288,288,1,2,male,0,0,0,0,Mr,2,0,1,1
289,289,1,3,female,0,0,2,2,Miss,1,0,1,0
290,290,1,1,female,0,0,0,2,Miss,1,0,1,3
291,291,1,1,female,1,0,1,1,Mrs,1,1,0,3
292,292,0,2,male,0,0,1,0,Mr,2,0,1,1
293,293,0,3,female,0,0,0,2,Miss,1,0,1,1
294,294,0,3,male,0,0,0,0,Mr,1,0,1,0
295,295,0,1,male,0,0,1,0,Mr,2,0,1,2
296,296,0,3,male,0,0,1,0,Mr,1,0,1,0
297,297,0,1,female,1,2,0,2,Miss,0,3,0,3
298,298,1,1,male,0,0,0,0,Mr,2,0,1,2
299,299,1,1,female,0,1,1,1,Mrs,3,1,0,3
300,300,1,3,female,0,0,2,2,Miss,1,0,1,0
301,301,1,3,male,2,0,2,0,Mr,2,2,0,2
302,302,0,3,male,0,0,0,0,Mr,1,0,1,0
303,303,1,2,female,0,0,2,2,Miss,1,0,1,1
304,304,0,3,male,0,0,0,0,Mr,2,0,1,1
305,305,1,1,male,1,2,0,3,Master,0,3,0,3
306,306,1,1,female,0,0,1,2,Miss,1,0,1,3
307,307,1,1,female,1,0,1,1,Mrs,1,1,0,3
308,308,0,2,male,1,0,1,0,Mr,1,1,0,2
309,309,1,1,female,0,0,1,2,Miss,1,0,1,3
310,310,1,1,female,0,0,1,2,Miss,1,0,1,3
311,311,1,1,female,2,2,1,2,Miss,1,4,0,3
312,312,0,2,female,1,1,0,1,Mrs,1,2,0,2
313,313,0,3,male,0,0,0,0,Mr,1,0,1,0
314,314,0,2,male,1,1,0,0,Mr,2,2,0,2
315,315,1,3,female,0,0,0,2,Miss,1,0,1,0
316,316,1,2,female,1,0,0,1,Mrs,1,1,0,2
317,317,0,2,male,0,0,0,0,Dr,3,0,1,1
318,318,1,1,female,0,2,0,2,Miss,1,2,0,3
319,319,1,1,female,1,1,1,1,Mrs,2,2,0,3
320,320,0,3,male,0,0,0,0,Mr,1,0,1,0
321,321,0,3,male,0,0,0,0,Mr,1,0,1,0
322,322,1,2,female,0,0,2,2,Miss,1,0,1,1
323,323,1,2,female,1,1,0,1,Mrs,1,2,0,2
324,324,0,3,male,8,2,0,0,Mr,2,10,0,3
325,325,1,1,female,0,0,1,2,Miss,2,0,1,3
326,326,0,3,male,0,0,0,0,Mr,3,0,1,0
327,327,1,2,female,0,0,0,1,Mrs,2,0,1,1
328,328,1,3,female,1,1,0,1,Mrs,1,2,0,2
329,329,1,1,female,0,1,1,2,Miss,0,1,0,3
330,330,1,3,female,2,0,2,2,Miss,1,2,0,2
331,331,0,1,male,0,0,0,0,Mr,2,0,1,2
332,332,0,1,male,0,1,0,0,Mr,2,1,0,3
333,333,0,3,male,2,0,0,0,Mr,0,2,0,2
334,334,1,1,female,1,0,0,1,Mrs,2,1,0,3
335,335,0,3,male,0,0,0,0,Mr,2,0,1,0
336,336,0,1,male,1,0,0,0,Mr,1,1,0,3
337,337,1,1,female,0,0,1,2,Miss,2,0,1,3
338,338,1,3,male,0,0,0,0,Mr,2,0,1,1
339,339,0,1,male,0,0,0,0,Mr,2,0,1,3
340,340,1,2,male,1,1,0,3,Master,0,2,0,2
341,341,1,1,female,3,2,0,2,Miss,1,5,0,3
342,342,0,2,male,0,0,0,0,Mr,1,0,1,1
343,343,0,2,male,0,0,0,0,Mr,1,0,1,1
344,344,0,2,male,0,0,0,0,Mr,2,0,1,1
345,345,1,2,female,0,0,0,2,Miss,1,0,1,1
346,346,1,2,female,0,0,0,2,Miss,2,0,1,1
347,347,1,3,female,1,0,0,1,Mrs,2,1,0,2
348,348,1,3,male,1,1,0,3,Master,0,2,0,2
349,349,0,3,male,0,0,0,0,Mr,2,0,1,1
350,350,0,3,male,0,0,0,0,Mr,1,0,1,1
351,351,0,1,male,0,0,0,0,Mr,2,0,1,3
352,352,0,3,male,1,1,1,0,Mr,0,2,0,0
353,353,0,3,male,1,0,0,0,Mr,1,1,0,2
354,354,0,3,male,0,0,1,0,Mr,2,0,1,0
355,355,0,3,male,0,0,0,0,Mr,1,0,1,1
356,356,1,1,female,0,1,0,2,Miss,1,1,0,3
357,357,0,2,female,0,0,0,2,Miss,2,0,1,1
358,358,1,3,female,0,0,2,2,Miss,1,0,1,0
359,359,1,3,female,0,0,2,2,Miss,1,0,1,0
360,360,0,3,male,1,4,0,0,Mr,2,5,0,2
361,361,0,2,male,1,0,1,0,Mr,1,1,0,2
362,362,0,3,female,0,1,1,1,Mrs,2,1,0,2
363,363,0,3,male,0,0,0,0,Mr,2,0,1,0
364,364,0,3,male,1,0,2,0,Mr,2,1,0,2
365,365,0,3,male,0,0,0,0,Mr,1,0,1,0
366,366,1,1,female,1,0,1,1,Mrs,3,1,0,3
367,367,1,3,female,0,0,1,1,Mrs,2,0,1,0
368,368,1,3,female,0,0,2,2,Miss,1,0,1,0
369,369,1,1,female,0,0,1,2,Mme,1,0,1,3
370,370,1,1,male,1,0,1,0,Mr,1,1,0,3
371,371,0,3,male,1,0,0,0,Mr,1,1,0,0
372,372,0,3,male,0,0,0,0,Mr,1,0,1,1
373,373,0,1,male,0,0,1,0,Mr,1,0,1,3
374,374,0,3,female,3,1,0,2,Miss,0,4,0,2
375,375,1,1,female,1,0,1,1,Mrs,2,1,0,3
376,376,1,3,female,0,0,0,2,Miss,1,0,1,0
377,377,0,1,male,0,2,1,0,Mr,1,2,0,3
378,378,0,3,male,0,0,1,0,Mr,1,0,1,0
379,379,0,3,male,0,0,0,0,Mr,1,0,1,0
380,380,1,1,female,0,0,1,2,Miss,2,0,1,3
381,381,1,3,female,0,2,1,2,Miss,0,2,0,2
382,382,0,3,male,0,0,0,0,Mr,1,0,1,1
383,383,1,1,female,1,0,0,1,Mrs,2,1,0,3
384,384,0,3,male,0,0,0,0,Mr,2,0,1,0
385,385,0,2,male,0,0,0,0,Mr,1,0,1,3
386,386,0,3,male,5,2,0,3,Master,0,7,0,3
387,387,1,2,female,0,0,0,2,Miss,2,0,1,1
388,388,0,3,male,0,0,2,0,Mr,2,0,1,0
389,389,1,2,female,0,0,1,2,Miss,1,0,1,1
390,390,1,1,male,1,2,0,0,Mr,2,3,0,3
391,391,1,3,male,0,0,0,0,Mr,1,0,1,0
392,392,0,3,male,2,0,0,0,Mr,1,2,0,1
393,393,1,1,female,1,0,1,2,Miss,1,1,0,3
394,394,1,3,female,0,2,0,1,Mrs,1,2,0,2
395,395,0,3,male,0,0,0,0,Mr,1,0,1,0
396,396,0,3,female,0,0,0,2,Miss,1,0,1,0
397,397,0,2,male,0,0,0,0,Mr,2,0,1,2
398,398,0,2,male,0,0,0,0,Dr,1,0,1,1
399,399,1,2,female,0,0,0,1,Mrs,1,0,1,1
400,400,1,3,male,0,0,0,0,Mr,2,0,1,1
401,401,0,3,male,0,0,0,0,Mr,1,0,1,1
402,402,0,3,female,1,0,0,2,Miss,1,1,0,1
403,403,0,3,male,1,0,0,0,Mr,1,1,0,2
404,404,0,3,female,0,0,0,2,Miss,1,0,1,1
405,405,0,2,male,1,0,0,0,Mr,2,1,0,2
406,406,0,3,male,0,0,0,0,Mr,3,0,1,0
407,407,1,2,male,1,1,0,3,Master,0,2,0,2
408,408,0,3,male,0,0,0,0,Mr,1,0,1,0
409,409,0,3,female,3,1,0,2,Miss,1,4,0,2
410,410,0,3,male,0,0,0,0,Mr,2,0,1,0
411,411,0,3,male,0,0,2,0,Mr,2,0,1,0
412,412,1,1,female,1,0,2,2,Miss,2,1,0,3
413,413,0,2,male,0,0,0,0,Mr,2,0,1,0
414,414,1,3,male,0,0,0,0,Mr,2,0,1,1
415,415,0,3,female,0,0,0,1,Mrs,2,0,1,1
416,416,1,2,female,1,1,0,1,Mrs,2,2,0,3
417,417,1,2,female,0,2,0,2,Miss,1,2,0,1
418,418,0,2,male,0,0,0,0,Mr,1,0,1,1
419,419,0,3,female,0,2,0,2,Miss,0,2,0,2
420,420,0,3,male,0,0,1,0,Mr,2,0,1,0
421,421,0,3,male,0,0,2,0,Mr,1,0,1,0
422,422,0,3,male,0,0,0,0,Mr,1,0,1,0
423,423,0,3,female,1,1,0,1,Mrs,1,2,0,1
424,424,0,3,male,1,1,0,0,Mr,1,2,0,2
425,425,0,3,male,0,0,0,0,Mr,2,0,1,0
426,426,1,2,female,1,0,0,1,Mrs,1,1,0,2
427,427,1,2,female,0,0,0,2,Miss,1,0,1,2
428,428,0,3,male,0,0,2,0,Mr,2,0,1,0
429,429,1,3,male,0,0,0,0,Mr,1,0,1,1
430,430,1,1,male,0,0,0,0,Mr,1,0,1,2
431,431,1,3,female,1,0,0,1,Mrs,2,1,0,2
432,432,1,2,female,1,0,0,1,Mrs,2,1,0,2
433,433,0,3,male,0,0,0,0,Mr,1,0,1,0
434,434,0,1,male,1,0,0,0,Mr,3,1,0,3
435,435,1,1,female,1,2,0,2,Miss,0,3,0,3
436,436,0,3,female,2,2,0,2,Miss,1,4,0,3
437,437,1,2,female,2,3,0,1,Mrs,1,5,0,2
438,438,0,1,male,1,4,0,0,Mr,3,5,0,3
439,439,0,2,male,0,0,0,0,Mr,1,0,1,1
440,440,1,2,female,1,1,0,1,Mrs,2,2,0,2
441,441,0,3,male,0,0,0,0,Mr,1,0,1,1
442,442,0,3,male,1,0,0,0,Mr,1,1,0,0
443,443,1,2,female,0,0,0,2,Ms,1,0,1,1
444,444,1,3,male,0,0,0,0,Mr,2,0,1,1
445,445,1,1,male,0,2,0,3,Master,0,2,0,3
446,446,1,2,female,0,1,0,2,Miss,0,1,0,2
447,447,1,1,male,0,0,0,0,Mr,2,0,1,2
448,448,1,3,female,2,1,1,2,Miss,0,3,0,2
449,449,1,1,male,0,0,0,0,Major,3,0,1,2
450,450,0,2,male,1,2,0,0,Mr,2,3,0,2
451,451,0,3,male,1,0,0,0,Mr,2,1,0,2
452,452,0,1,male,0,0,1,0,Mr,1,0,1,2
453,453,1,1,male,1,0,1,0,Mr,3,1,0,3
454,454,0,3,male,0,0,0,0,Mr,2,0,1,1
455,455,1,3,male,0,0,1,0,Mr,1,0,1,0
456,456,0,1,male,0,0,0,0,Mr,4,0,1,2
457,457,1,1,female,1,0,0,1,Mrs,2,1,0,3
458,458,1,2,female,0,0,0,2,Miss,3,0,1,1
459,459,0,3,male,0,0,2,0,Mr,2,0,1,0
