Airline,Source,Destination,Total_Stops,Additional_Info,Date,Month,Year,Arrival_Hour,Arrival_Minute,Departure_Hour,Departure_Minute,Price
97,4,0,2,0,5,3,6,2019,22,50,19,50,6478.0
98,4,4,3,0,8,18,6,2019,8,30,7,5,8040.0
99,4,2,1,2,8,12,6,2019,12,35,20,0,14300.0
100,4,3,0,1,8,15,5,2019,20,45,8,25,14781.0
101,4,3,0,1,8,9,6,2019,8,15,20,0,14939.0
102,4,2,1,1,5,24,6,2019,4,25,20,55,10262.0
103,1,3,0,1,8,12,5,2019,14,35,14,35,6528.0
104,1,0,2,0,8,1,5,2019,8,55,6,10,6121.0
105,4,2,1,2,5,18,5,2019,4,25,19,30,13029.0
106,6,2,1,1,8,27,3,2019,18,50,11,40,11421.0
107,6,2,1,1,8,27,3,2019,19,15,4,45,7574.0
108,1,2,1,2,8,9,5,2019,19,15,12,55,11596.0
109,4,2,1,2,8,24,5,2019,19,0,23,5,15129.0
110,4,0,5,1,8,18,3,2019,5,5,14,5,13555.0
111,3,0,2,0,8,12,4,2019,21,50,18,55,5780.0
112,10,3,0,1,8,12,5,2019,9,5,20,20,9397.0
113,4,2,1,1,8,6,3,2019,4,25,18,15,17024.0
114,2,2,1,1,8,27,6,2019,12,55,7,0,5281.0
115,6,2,1,1,8,18,5,2019,22,30,7,5,10348.0
116,1,2,1,1,8,6,3,2019,9,25,17,20,12677.0
117,6,2,1,1,8,3,3,2019,1,35,15,25,15147.0
118,10,0,2,0,8,12,6,2019,9,40,7,0,4668.0
119,4,2,1,1,8,9,5,2019,19,0,7,5,15554.0
120,8,0,2,0,8,9,4,2019,8,35,5,55,3971.0
121,1,4,3,0,8,3,5,2019,16,25,15,0,3100.0
122,4,3,0,1,5,6,5,2019,10,5,20,0,9663.0
123,1,2,1,1,8,1,3,2019,19,15,23,0,27430.0
124,3,1,4,0,8,12,5,2019,7,40,5,15,3540.0
125,1,3,0,2,8,21,5,2019,11,10,12,0,10676.0
126,4,3,0,1,8,12,6,2019,8,15,14,5,13044.0
127,4,3,0,1,8,6,5,2019,12,0,20,0,14388.0
128,3,0,2,0,8,24,6,2019,6,50,4,0,3943.0
129,3,1,4,0,8,3,6,2019,17,5,14,45,3597.0
130,1,0,5,1,8,21,3,2019,19,50,11,50,5932.0
131,4,2,1,1,5,15,6,2019,4,25,11,30,10262.0
132,10,2,1,0,8,12,5,2019,17,50,14,40,6216.0
133,3,3,0,0,8,15,6,2019,23,10,20,25,4804.0
134,6,2,1,1,8,21,5,2019,1,30,11,30,14067.0
135,4,2,1,2,8,18,5,2019,19,0,19,10,15129.0
136,4,2,1,2,8,6,6,2019,4,25,6,45,13376.0
137,1,2,1,2,8,27,6,2019,19,15,22,0,10441.0
138,4,0,2,0,5,24,5,2019,8,45,6,0,4030.0
139,4,2,1,1,8,3,3,2019,18,50,8,0,17024.0
140,6,2,1,1,8,9,4,2019,1,30,17,30,13017.0
141,2,3,0,1,8,6,6,2019,7,45,23,30,6686.0
142,3,2,1,1,8,15,6,2019,7,25,2,0,5636.0
143,3,2,1,1,8,9,6,2019,16,10,7,35,6442.0
144,6,2,1,1,8,21,5,2019,0,55,13,5,9486.0
145,4,3,0,1,5,21,5,2019,23,35,20,0,10844.0
146,4,2,1,2,5,3,6,2019,4,25,20,0,15318.0
147,1,2,1,1,8,3,4,2019,9,25,12,30,5117.0
148,3,2,1,1,8,24,6,2019,20,0,15,10,6147.0
149,6,2,1,1,8,9,6,2019,21,0,12,50,7005.0
150,8,3,0,0,8,3,4,2019,0,40,22,20,3873.0
151,4,2,1,2,5,21,3,2019,18,50,18,25,9270.0
152,2,0,2,0,8,27,6,2019,14,30,11,40,3898.0
153,4,3,0,1,8,12,5,2019,20,45,8,25,14781.0
154,4,3,0,1,5,24,5,2019,8,15,20,0,8586.0
155,1,3,0,2,8,9,5,2019,7,55,8,20,10697.0
156,4,2,1,2,8,27,6,2019,12,35,20,0,14300.0
157,3,0,5,0,8,3,3,2019,21,45,18,55,8855.0
158,4,3,0,1,5,12,5,2019,18,15,16,30,10844.0
159,4,2,1,1,8,6,3,2019,4,25,2,15,17024.0
160,4,3,0,1,5,1,5,2019,14,25,9,35,9314.0
161,3,0,5,0,8,24,3,2019,3,25,0,40,4777.0
162,1,3,0,1,8,9,6,2019,13,15,12,0,7662.0
163,3,2,1,1,8,9,5,2019,16,10,6,50,6442.0
164,8,2,1,1,8,12,6,2019,13,15,8,45,5264.0
165,4,2,1,1,5,27,5,2019,4,25,13,0,12898.0
166,1,4,3,0,8,3,3,2019,15,25,13,55,6092.0
167,8,0,2,0,8,21,5,2019,8,35,5,55,3311.0
168,4,2,1,1,5,27,3,2019,4,25,19,15,6540.0
169,3,0,2,0,8,27,5,2019,4,15,1,30,3419.0
170,4,2,1,1,5,3,4,2019,12,35,14,0,5177.0
171,1,2,1,0,8,18,4,2019,21,10,18,5,8246.0
172,4,3,0,1,8,9,6,2019,21,5,9,35,14676.0
173,6,2,1,1,8,27,6,2019,21,0,11,30,13587.0
174,4,3,0,1,5,6,5,2019,9,20,21,10,9663.0
175,4,3,0,1,8,12,6,2019,10,5,16,30,13044.0
176,3,2,1,1,8,3,4,2019,1,30,20,25,5073.0
177,10,3,0,1,8,21,5,2019,18,50,17,0,9345.0
178,4,3,0,1,5,6,5,2019,10,5,14,5,9663.0
179,6,2,1,1,8,21,5,2019,21,0,8,0,14277.0
180,4,2,1,1,5,1,6,2019,4,25,10,0,10262.0
181,4,4,3,0,8,27,3,2019,21,5,19,35,5678.0
182,6,2,1,1,8,15,5,2019,1,30,16,0,13727.0
183,4,3,0,1,5,6,5,2019,12,0,20,0,9663.0
184,3,1,4,0,8,12,5,2019,17,5,14,45,3858.0
185,8,2,1,1,8,24,6,2019,13,15,8,45,4812.0
186,3,2,1,1,8,27,6,2019,3,35,21,50,5775.0
187,4,3,0,1,5,6,6,2019,9,45,9,35,10539.0
188,3,3,0,0,8,3,6,2019,18,5,15,30,4804.0
189,0,0,2,0,8,12,6,2019,13,55,11,10,3383.0
190,3,0,5,1,8,3,3,2019,17,5,12,10,8738.0
191,1,2,1,1,8,27,3,2019,6,50,5,15,7165.0
192,3,2,1,1,8,24,6,2019,22,30,16,10,6412.0
193,4,0,2,0,8,27,6,2019,22,0,18,55,8016.0
194,4,0,5,1,5,12,3,2019,15,15,20,35,11087.0
195,8,1,4,0,7,27,6,2019,12,0,9,45,3543.0
196,4,3,0,1,8,12,6,2019,4,40,16,30,12471.0
197,4,2,1,1,5,24,6,2019,4,25,9,0,10262.0
198,1,0,5,0,8,18,3,2019,16,10,13,20,4441.0
199,6,2,1,1,8,27,3,2019,15,30,7,5,12537.0
200,2,3,0,1,8,24,3,2019,7,40,22,25,10091.0
201,1,0,2,0,8,3,6,2019,23,55,21,5,6961.0
202,3,2,1,0,8,24,4,2019,8,50,5,35,5013.0
203,1,2,1,0,8,18,5,2019,8,0,5,10,6934.0
204,6,2,1,1,8,3,6,2019,19,0,6,40,10877.0
205,4,0,2,0,8,18,4,2019,18,10,15,15,7229.0
206,3,2,1,1,8,27,3,2019,1,35,16,0,7048.0
207,10,0,2,0,8,27,6,2019,19,35,17,0,4878.0
208,4,3,0,1,5,21,5,2019,23,35,14,5,10844.0
209,4,2,1,2,8,18,5,2019,4,25,23,5,15129.0
210,3,0,2,0,8,12,5,2019,3,25,0,30,3943.0
211,8,2,1,1,8,6,6,2019,11,20,6,5,5583.0
212,6,2,1,1,8,6,6,2019,16,10,7,5,9646.0
213,6,2,1,1,8,3,6,2019,19,15,8,30,7677.0
214,3,2,1,1,8,1,6,2019,10,5,5,10,6842.0
215,4,4,3,0,5,24,6,2019,10,15,8,45,4995.0
216,10,3,0,1,8,9,6,2019,18,50,7,10,9555.0
217,3,0,2,0,8,1,6,2019,4,15,1,30,4077.0
218,4,0,2,0,8,12,5,2019,18,10,15,15,7229.0
219,6,2,1,1,8,9,6,2019,19,0,9,0,12192.0
220,1,0,2,0,8,12,4,2019,12,45,10,0,5911.0
221,1,2,1,1,8,12,6,2019,19,15,9,0,8372.0
222,4,4,3,0,5,18,3,2019,8,35,7,10,4995.0
223,6,2,1,1,8,9,5,2019,19,15,10,0,14323.0
224,4,2,1,2,8,9,6,2019,4,25,5,30,13014.0
225,1,2,1,2,8,6,6,2019,19,15,14,25,13591.0
226,4,2,1,2,8,3,3,2019,18,50,5,25,18799.0
227,3,0,2,0,8,27,4,2019,2,20,23,30,3943.0
228,8,4,3,0,7,21,5,2019,7,15,5,45,1965.0
229,4,4,3,0,5,27,5,2019,11,50,10,20,4995.0
230,1,3,0,1,8,24,3,2019,18,30,16,50,14641.0
231,1,3,0,0,8,12,4,2019,23,20,20,45,4460.0
232,1,2,1,1,8,18,5,2019,19,15,13,0,10191.0
233,4,2,1,1,5,9,3,2019,19,45,2,15,13843.0
234,3,2,1,1,8,1,5,2019,3,35,21,50,6349.0
235,0,3,0,0,8,1,5,2019,12,55,10,20,4409.0
236,4,2,1,1,8,6,3,2019,19,45,18,15,17024.0
237,6,2,1,1,8,18,5,2019,21,0,7,5,13727.0
238,3,0,5,0,8,15,3,2019,21,20,18,25,8855.0
239,6,2,1,1,8,24,6,2019,19,0,8,45,12524.0
240,4,0,5,1,8,18,3,2019,20,20,11,40,13555.0
241,4,3,0,1,5,6,6,2019,12,0,6,30,10844.0
242,6,2,1,1,8,9,6,2019,21,0,9,0,13587.0
243,8,1,4,0,7,12,6,2019,12,0,9,45,3543.0
244,10,1,4,0,8,18,3,2019,9,20,7,5,4842.0
245,3,0,2,0,8,24,4,2019,2,20,23,30,3943.0
246,4,2,1,1,5,9,6,2019,4,25,19,15,10577.0
247,3,2,1,1,8,15,5,2019,21,0,10,35,6979.0
248,10,1,4,0,8,27,6,2019,20,5,17,45,11982.0
249,8,2,1,1,8,6,6,2019,13,15,8,45,5264.0
250,10,2,1,0,8,3,3,2019,9,10,6,0,8001.0
251,1,2,1,2,8,1,6,2019,19,15,19,45,10651.0
252,4,3,0,1,5,24,5,2019,19,50,16,30,10844.0
253,6,2,1,1,8,27,3,2019,22,20,9,45,6601.0
254,1,2,1,1,8,21,3,2019,19,15,19,0,6587.0
255,8,4,3,0,8,21,3,2019,14,30,13,10,3173.0
256,1,0,2,0,8,9,5,2019,12,45,10,0,5228.0
257,4,0,2,0,5,21,6,2019,10,10,7,10,5769.0
258,4,2,1,1,8,6,6,2019,19,0,8,0,14714.0
259,4,2,1,2,8,3,6,2019,19,0,5,30,13014.0
260,3,0,2,0,8,3,6,2019,1,0,22,10,3359.0
261,2,0,5,0,8,3,3,2019,23,50,20,55,6722.0
262,3,3,0,0,8,18,3,2019,12,20,9,35,4462.0
263,3,2,1,1,8,9,3,2019,16,10,4,55,6171.0
264,1,3,0,2,8,21,5,2019,20,25,5,50,12303.0
265,6,2,1,1,8,21,3,2019,1,35,11,40,7695.0
266,3,2,1,1,8,24,6,2019,1,30,11,25,5684.0
267,1,3,0,1,8,12,6,2019,7,55,16,50,8366.0
268,1,1,4,0,8,1,3,2019,13,55,11,40,19630.0
269,4,0,5,1,5,6,3,2019,5,5,14,5,13502.0
270,4,3,0,1,8,1,5,2019,10,5,21,10,14781.0
271,6,2,1,1,8,12,6,2019,16,10,7,10,6513.0
272,1,2,1,1,8,1,6,2019,19,15,7,0,9929.0
273,6,2,1,2,8,6,6,2019,1,30,17,50,18275.0
274,1,2,1,1,8,9,4,2019,9,25,6,5,4487.0
275,3,4,3,0,8,15,3,2019,22,45,21,20,2754.0
276,1,4,3,0,8,27,3,2019,7,40,6,20,2575.0
277,8,3,0,1,8,12,6,2019,21,25,15,55,8224.0
278,1,2,1,1,8,9,3,2019,8,15,20,30,8991.0
279,3,2,1,0,8,24,6,2019,8,50,5,35,5000.0
280,4,3,0,1,5,12,6,2019,19,50,18,55,8529.0
281,1,2,1,1,8,3,3,2019,9,25,6,5,14042.0
282,4,0,2,0,5,24,5,2019,14,5,11,10,4030.0
283,4,3,0,1,5,6,6,2019,12,0,18,55,10844.0
284,3,3,0,0,8,6,5,2019,0,5,21,25,4804.0
285,6,2,1,1,5,27,5,2019,1,30,17,30,7308.0
286,3,0,2,0,8,12,5,2019,19,55,16,55,4823.0
287,4,2,1,1,5,24,6,2019,12,35,9,0,10262.0
288,4,2,1,1,5,27,5,2019,4,25,20,55,12898.0
289,1,0,5,2,8,12,3,2019,16,20,17,25,12778.0
290,3,2,1,1,8,3,3,2019,13,20,4,45,14871.0
291,1,2,1,2,8,21,3,2019,19,15,13,20,8708.0
292,4,3,0,1,5,6,6,2019,18,15,20,0,10844.0
293,8,4,3,0,8,6,3,2019,7,5,5,45,4129.0
294,3,3,0,0,8,18,5,2019,0,5,21,25,4804.0
295,4,0,2,0,8,6,5,2019,11,20,8,20,7229.0
296,4,0,5,1,5,21,3,2019,19,10,7,0,7832.0
297,8,1,4,0,8,18,3,2019,12,5,9,30,3859.0
298,6,2,1,1,8,6,6,2019,19,15,7,30,9001.0
299,10,0,2,0,8,9,5,2019,19,35,17,0,4878.0
300,3,4,3,0,8,3,5,2019,4,5,2,35,2754.0
301,10,0,2,0,8,27,6,2019,9,40,7,0,4668.0
302,0,3,0,0,8,12,5,2019,12,55,10,20,5216.0
303,4,2,1,2,5,6,6,2019,4,25,5,30,10368.0
304,3,2,1,2,8,9,3,2019,21,20,6,40,8146.0
305,4,2,1,1,8,27,3,2019,4,25,13,0,12242.0
306,4,0,5,1,5,15,3,2019,15,15,8,0,9134.0
307,1,2,1,2,8,6,6,2019,9,25,13,15,10939.0
308,1,2,1,2,8,6,6,2019,7,40,10,55,11753.0
309,8,3,0,0,8,24,4,2019,19,40,17,10,4174.0
310,4,3,0,1,5,21,5,2019,19,50,20,0,10844.0
311,4,2,1,1,8,3,6,2019,19,0,16,0,14714.0
312,4,3,0,1,5,12,6,2019,12,0,6,30,9899.0
313,3,2,1,1,8,3,3,2019,21,0,9,10,14871.0
314,3,1,4,0,8,6,3,2019,15,35,13,20,7295.0
315,1,2,1,2,8,6,6,2019,19,15,18,45,13465.0
316,8,1,4,0,7,21,5,2019,20,5,17,45,3543.0
317,6,2,1,1,8,27,6,2019,1,30,19,0,7198.0
318,4,2,1,1,5,1,6,2019,4,25,8,0,10262.0
319,3,3,0,0,8,15,3,2019,17,55,15,20,4148.0
320,4,0,2,0,8,27,6,2019,18,10,15,15,8016.0
321,4,2,1,1,5,9,6,2019,4,25,22,50,10262.0
322,8,3,0,0,7,15,6,2019,17,25,14,55,3841.0
323,4,0,5,1,8,12,3,2019,0,30,9,45,11507.0
324,4,3,0,1,8,1,5,2019,20,45,8,25,14781.0
325,4,2,1,1,8,27,5,2019,19,0,17,30,16079.0
326,4,2,1,1,5,27,5,2019,4,25,22,50,12898.0
327,6,2,1,1,8,6,3,2019,19,15,7,30,15353.0
328,3,0,5,0,8,24,3,2019,21,20,18,25,7303.0
329,8,3,0,1,8,24,3,2019,20,45,15,5,6197.0
330,1,3,0,1,8,9,6,2019,13,15,9,10,8996.0
331,3,2,1,1,8,21,3,2019,22,20,14,20,6528.0
332,2,0,2,0,8,9,4,2019,23,40,20,55,4239.0
333,3,3,0,0,8,12,3,2019,23,5,20,25,4148.0
334,8,0,2,0,8,24,5,2019,0,5,21,10,3971.0
335,0,3,0,1,8,6,5,2019,23,30,7,35,5192.0
336,4,2,1,2,8,9,4,2019,12,35,13,25,9483.0
337,4,2,1,2,8,3,6,2019,19,0,11,40,18804.0
338,1,2,1,0,8,18,6,2019,8,0,5,10,5201.0
339,4,2,1,1,8,27,5,2019,19,0,11,30,16079.0
340,4,0,2,0,5,15,6,2019,22,50,19,50,7229.0
341,6,2,1,1,8,27,5,2019,1,30,17,45,6795.0
342,4,3,0,1,8,9,5,2019,10,55,9,35,10953.0
343,6,2,1,2,8,24,6,2019,1,30,15,5,15965.0
344,1,2,1,2,8,9,4,2019,19,15,12,55,9968.0
345,3,3,0,0,8,6,6,2019,0,50,22,15,4804.0
346,4,2,1,1,8,27,5,2019,19,0,10,0,16079.0
347,4,2,1,2,5,12,6,2019,12,35,21,25,11507.0
348,1,3,0,2,8,9,6,2019,13,45,9,25,11542.0
349,4,0,2,0,8,24,4,2019,20,45,17,45,7229.0
350,4,0,2,0,5,27,4,2019,8,45,6,0,4544.0
351,3,2,1,1,8,15,5,2019,10,5,5,10,6496.0
352,3,3,0,0,8,15,6,2019,0,5,21,25,4804.0
353,1,0,5,1,8,1,3,2019,9,15,11,5,13439.0
354,4,2,1,1,5,27,3,2019,4,25,18,15,6540.0
355,3,0,2,0,8,1,6,2019,2,20,23,30,4591.0
356,3,0,5,1,8,18,3,2019,20,35,16,15,4437.0
357,0,2,1,1,8,21,3,2019,7,10,20,10,6151.0
358,4,0,2,0,5,21,6,2019,20,45,17,45,7754.0
359,4,2,1,1,5,24,6,2019,12,35,14,0,10262.0
360,4,0,2,0,8,9,6,2019,22,0,18,55,8016.0
361,8,3,0,0,7,24,3,2019,9,35,6,55,4781.0
362,10,0,2,0,8,27,6,2019,14,20,11,30,4668.0
363,1,0,5,1,8,6,3,2019,8,55,11,50,14594.0
364,4,3,0,1,8,24,3,2019,4,45,16,55,14231.0
365,1,2,1,1,8,15,5,2019,6,50,5,15,8425.0
366,6,2,1,1,8,12,6,2019,22,30,7,5,9646.0
367,3,1,4,0,8,3,3,2019,17,5,14,40,7295.0
368,0,3,0,1,8,9,4,2019,10,30,6,50,5162.0
369,3,0,5,0,8,9,3,2019,21,20,18,25,6860.0
370,10,2,1,0,8,15,4,2019,9,10,6,0,6216.0
371,0,3,0,1,8,24,5,2019,19,25,7,35,5192.0
372,3,0,2,0,8,9,4,2019,22,50,20,0,4823.0
373,8,0,2,0,7,3,4,2019,12,20,9,30,3919.0
374,3,4,3,0,8,3,6,2019,20,35,19,5,2754.0
375,6,2,1,1,8,9,5,2019,19,0,7,30,9315.0
376,6,2,1,1,8,27,3,2019,18,50,10,0,11667.0
377,4,3,0,1,5,12,6,2019,4,40,8,25,6224.0
378,1,3,0,2,8,24,3,2019,5,35,9,25,13349.0
379,4,0,5,1,5,18,3,2019,9,0,16,55,11087.0
380,6,2,1,1,8,6,3,2019,1,35,13,0,15603.0
381,4,2,1,2,8,9,5,2019,12,35,19,30,15129.0
382,3,0,2,0,8,9,4,2019,19,55,16,55,4823.0
383,10,3,0,1,8,1,5,2019,22,40,7,10,8452.0
384,6,2,1,1,8,6,6,2019,19,0,7,30,12524.0
385,8,1,4,0,8,27,3,2019,20,5,17,45,3384.0
386,4,2,1,1,5,1,6,2019,19,0,19,15,10262.0
387,8,4,3,0,7,18,6,2019,14,45,13,15,1965.0
388,3,3,0,0,8,18,5,2019,0,50,22,15,4804.0
389,4,2,1,1,8,27,5,2019,19,0,18,15,16079.0
390,4,2,1,2,8,1,6,2019,19,0,21,25,13292.0
391,0,2,1,1,8,9,5,2019,13,25,7,55,6751.0
392,1,2,1,1,8,15,5,2019,19,15,7,0,8669.0
393,3,2,1,1,8,3,3,2019,1,35,17,30,14871.0
394,4,2,1,1,5,21,5,2019,19,0,14,0,12898.0
395,8,0,2,0,7,6,6,2019,12,20,9,30,3919.0
396,6,2,1,1,8,1,3,2019,19,15,12,50,36983.0
397,3,1,4,0,8,3,6,2019,21,55,19,35,3597.0
398,1,0,5,0,8,9,3,2019,19,45,17,0,10741.0
399,1,3,0,2,8,6,6,2019,5,35,16,50,11432.0
400,4,0,5,1,5,12,3,2019,10,45,18,55,11087.0
401,4,2,1,2,8,3,6,2019,12,35,9,35,13292.0
402,1,2,1,3,8,15,6,2019,7,40,5,15,10493.0
403,2,0,5,0,8,9,3,2019,10,40,7,45,7631.0
404,1,2,1,2,8,6,6,2019,7,40,6,50,13381.0
405,4,3,0,1,8,6,6,2019,4,40,20,0,13731.0
406,1,2,1,2,8,21,5,2019,7,40,5,55,11911.0
407,3,0,2,0,8,18,4,2019,2,20,23,30,4591.0
408,6,2,1,1,8,3,6,2019,19,15,13,0,14848.0
409,6,2,1,1,8,12,6,2019,19,15,8,45,8266.0
410,1,2,1,2,8,18,5,2019,19,15,17,15,12392.0
411,4,3,0,1,8,12,6,2019,12,0,18,55,13044.0
412,4,2,1,1,5,21,5,2019,4,25,7,5,12898.0
413,4,2,1,1,8,21,3,2019,4,25,22,50,12242.0
414,3,0,2,0,8,18,5,2019,13,0,10,10,3943.0
415,10,3,0,1,8,24,3,2019,22,10,20,20,11105.0
416,4,3,0,1,8,12,5,2019,9,20,21,10,14388.0
417,4,2,1,2,8,18,5,2019,12,35,19,30,13014.0
418,6,2,1,1,8,6,3,2019,18,50,10,20,15411.0
419,4,2,1,1,8,9,3,2019,18,50,19,45,16289.0
420,3,2,1,1,8,15,5,2019,16,10,6,50,6442.0
421,4,3,0,1,5,18,5,2019,16,20,8,25,10844.0
422,4,4,3,0,8,18,5,2019,11,50,10,20,5678.0
423,3,0,2,0,8,12,4,2019,2,20,23,30,6906.0
424,8,1,4,0,7,21,5,2019,12,0,9,45,3543.0
425,4,2,1,1,8,6,6,2019,19,0,9,0,14714.0
426,11,0,5,0,8,3,3,2019,18,35,16,0,11793.0
427,6,2,1,1,8,15,5,2019,19,15,11,30,14323.0
428,8,0,2,0,8,9,4,2019,0,5,21,10,3971.0
429,10,3,0,1,8,6,5,2019,22,40,20,20,8452.0
430,10,0,2,0,8,12,4,2019,9,40,7,0,5403.0
431,6,2,1,1,8,9,5,2019,21,0,10,0,13727.0
432,1,3,0,2,8,1,4,2019,5,25,10,0,12639.0
